dhEmi,xFant,nNF,vProd,vNF,CFOP
2023-04-17,ACOS ACW LTDA,3281,5440.00,5440.00,5901
2023-04-15,ANDRA SA ELECTRIC SO,28950,5440.00,4440.82,5929
2023-04-04,Auto Posto das Olive,30471,357.72,2618.27,5929
2023-04-11,Auto Posto das Olive,30517,247.38,1623.16,5929
2023-04-18,Auto Posto das Olive,30592,54.20,1719.97,5929
2023-04-03,BORFER FERRAGENS E F,129384,75.32,525.00,5929
2023-04-04,BORFER FERRAGENS E F,129456,320.00,1404.60,5929
2023-04-04,BORFER FERRAGENS E F,129508,320.00,244.10,5929
2023-04-06,BORFER FERRAGENS E F,129627,160.00,3750.00,5929
2023-04-10,BORFER FERRAGENS E F,129668,160.00,2193.43,5929
2023-04-10,BORFER FERRAGENS E F,129695,395.00,654.90,5929
2023-04-12,BORFER FERRAGENS E F,129824,395.00,500.00,5929
2023-04-17,BORFER FERRAGENS E F,130055,395.00,75.40,5929
2023-04-11,CAROLPLAS IND E COM ,9670,164.00,2050.00,5929
2023-03-20,CROMEACAO E POLIM. C,7946,133.10,3193.06,5929
2023-04-03,CROMEACAO E POLIM. C,8001,54.21,6630.00,5929
2023-04-03,CROMEACAO E POLIM. C,8002,38.96,6174.33,5929
2023-04-03,CROMEACAO E POLIM. C,8003,34.20,1911.44,5929
2023-04-03,CROMEACAO E POLIM. C,8004,34.76,5183.88,5929
2023-04-03,CROMEACAO E POLIM. C,8005,144.50,3214.93,5929
2023-04-04,CROMEACAO E POLIM. C,8006,144.50,19800.00,5929
2023-04-04,CROMEACAO E POLIM. C,8007,144.50,635.58,5929
2023-04-05,CROMEACAO E POLIM. C,8008,589.95,3857.59,5929
2023-04-05,CROMEACAO E POLIM. C,8009,46.20,968.36,5929
2023-04-06,CROMEACAO E POLIM. C,8017,18.54,14309.03,5929
2023-04-10,CROMEACAO E POLIM. C,8022,13.78,8265.00,5929
2023-04-11,CROMEACAO E POLIM. C,8026,4440.82,148.00,5929
2023-04-12,CROMEACAO E POLIM. C,8027,936.86,1597.50,5929
2023-04-12,CROMEACAO E POLIM. C,8028,97.83,4583.01,5929
2023-04-12,CROMEACAO E POLIM. C,8029,106.33,3479.30,5929
2023-04-12,CROMEACAO E POLIM. C,8030,185.89,3311.74,5929
2023-04-12,CROMEACAO E POLIM. C,8031,512.61,179.40,5929
2023-04-13,CROMEACAO E POLIM. C,8032,118.82,9851.50,5929
2023-04-13,CROMEACAO E POLIM. C,8033,301.53,1574.54,5929
2023-04-13,CROMEACAO E POLIM. C,8034,93.60,180.05,5929
2023-04-17,CROMEACAO E POLIM. C,8039,47.00,915.14,5929
2023-04-17,CROMEACAO E POLIM. C,8040,217.80,3186.74,5929
2023-04-17,CROMEACAO E POLIM. C,8041,2618.27,1907.90,5929
2023-04-17,CROMEACAO E POLIM. C,8042,217.99,667.94,5929
2023-04-19,CROMEACAO E POLIM. C,8044,554.55,848.68,5929
2023-04-19,CROMEACAO E POLIM. C,8045,213.81,1492.90,5929
2023-04-04,CENTRAL DO ACRILICO ,416542,180.73,953.99,5929
2023-04-17,COMERCIAL COOPER-ROL,2669,222.71,6642.00,5929
2023-04-03,COSMOFER COMERCIO DE,21413,233.37,1326.80,5929
2023-04-19,CROMOSPEEDY NIQ. E C,31611,1623.16,8513.76,5102
2023-04-19,CROMOSPEEDY NIQ. E C,31610,1246.51,10120.00,5102
2023-04-04,DAGAN INDUSTRIA E CO,73372,200.03,13745.55,5102
2023-03-15,DE FLASH MATERIAIS P,1489,273.43,66.90,5102
2023-04-17,DE FLASH MATERIAIS P,1539,1719.97,11728.06,5102
2023-04-04,DE HOTEL COMERCIO E ,1902,525.00,1326.78,5102
2023-04-18,Delta Cores Industri,8443,525.00,2839.38,5102
2023-04-17,ELETRIFICAR COM. DE ,8701,1329.00,169.80,5102
2023-04-17,ELINOX CENTRAL DE AC,327207,75.60,5093.52,5102
2023-04-06,ERT DO BRASIL COMERC,1960,1404.60,1071.92,5102
2023-04-04,FAMARA INDUSTRIA E C,4,63.60,775.00,5102
2023-04-05,FAMARA INDUSTRIA E C,5,75.75,155.00,5405
2023-04-04,Trevilub Comercio de,574798,29.50,465.60,5405
2023-04-19,FC IND E COM DE ARAM,33732,34.00,2279.40,5102
2023-04-11,FC IND E COM DE ARAM,33686,41.25,228.00,5102
2023-04-14,FC IND E COM DE ARAM,33717,244.10,5067.12,5405
2023-04-14,FC IND E COM DE ARAM,33718,2250.00,1449.60,5405
2023-04-06,FEMAPACK INDUSTRIA D,14047,1500.00,1783.65,5102
2023-04-05,GABRIELA FUNDICAO LT,4517,3750.00,545.30,5102
2023-04-03,GILCILANIO SEVERINO ,7920,25.25,790.00,5405
2023-04-10,SUPRICORP SUPRIMENTO,6142174,44.60,1874.15,5405
2023-04-10,TABOAO MADEIRAS COME,61770,93.43,408.13,5405
2023-03-30,LNE MARCENARIA EIREL,832,1530.00,1870.00,5102
2023-04-04,LS2 COMERCIO DE EQUI,10521,240.25,1940.00,5102
2023-04-10,MEGAFRIS PLASTICOS L,21386,223.50,1424.85,5405
2023-04-12,MOBIMAX COMERCIO DE ,61,36.40,15952.09,5405
2023-04-06,MUNDIAL DISTRIBUIDOR,24982,2193.43,1769.22,5101
2023-04-17,MUNDIAL DISTRIBUIDOR,25067,107.60,546.13,5124
2023-04-05,NEVELI PERFURACAO DE,26674,404.00,15332.62,5902
2023-04-03,NEW SOS COMERCIO DE ,4910,39.25,1269.30,5124
2023-04-11,NOMACO COMERCIO DE F,23779,19.60,189.00,5902
2023-04-05,Nova Visao Artefatos,8502,18.60,1981.50,5124
2023-04-12,Nova Visao Artefatos,8518,65.85,58.00,5902
2023-04-12,Nova Visao Artefatos,8518,654.90,58.00,5124
2023-04-04,PALUME BENEFICIADORA,4217,500.00,18434.04,5902
2023-04-13,PANIFICADORA NOVA MO,509,500.00,6004.24,5124
2023-04-03,PARAFUZETA COMERCIO ,1174,19.60,711.00,5902
2023-04-04,PIRES DO RIO CIBRACO,181891,55.80,18578.62,5124
2023-04-06,POLISTAMPO INDUSTRIA,356819,75.40,13745.55,5902
2023-04-04,POLISTAMPO INDUSTRIA,356515,2050.00,4800.00,5124
2023-04-03,PONTO QUATRO ARTIGOS,41493,2050.00,137.36,5902
2023-04-12,PONTO QUATRO ARTIGOS,41524,1704.10,99.60,5124
2023-04-18,RAX SERVICE LTDA,16727,1488.96,4143.00,5902
2023-03-30,REGENBOGEN PINTURA E,15872,3193.06,11536.50,5124
2023-04-03,REGENBOGEN PINTURA E,15877,4887.50,12181.40,5902
2023-04-04,REGENBOGEN PINTURA E,15880,1742.50,8143.96,5124
2023-04-06,REGENBOGEN PINTURA E,15882,6630.00,3968.38,5902
2023-04-06,REGENBOGEN PINTURA E,15883,624.75,13391.80,5124
2023-04-11,REGENBOGEN PINTURA E,15887,210.84,10191.51,5902
2023-04-11,REGENBOGEN PINTURA E,15890,585.00,11157.49,5124
2023-04-12,REGENBOGEN PINTURA E,15892,179.64,12495.88,5902
2023-04-14,REGENBOGEN PINTURA E,15896,472.50,9322.43,5124
2023-04-17,REGENBOGEN PINTURA E,15898,159.00,10860.33,5902
2023-04-04,RENA METALURGICA LTD,82935,2012.40,1431.36,5124
2023-04-03,SANI-MATIC COMERCIAL,9087,718.56,3343.82,5902
2023-04-19,FERCOI SA,333672,192.00,36042.12,5124
2023-04-14,SF COMERCIO DE PAPEI,11907,99.84,1452.48,5902
2023-04-14,SF COMERCIO DE PAPEI,11907,581.00,1452.48,5124
2023-04-11,Soufer Industrial LT,275544,338.80,29109.00,5902
2023-04-17,SOWFIX INDUSTRIA E C,7483,6174.33,2242.50,5124
2023-04-11,TABOAO MADEIRAS COME,61783,97.50,526.29,5902
2023-04-10,T D Comercio e Repre,37,16.14,4895.50,5124
2023-04-12,TREFIMET IND. E COM.,5296,52.00,400.00,5902
2023-04-04,Trevilub Comercio de,574798,18.18,465.60,5124
2023-04-14,TRICHES FERRO E ACO ,418956,1020.00,25183.62,5902
2023-04-10,USIMATIC INDUSTRIA E,188425,301.20,90.00,5124
2023-04-14,Solucoes em Aco Usim,31174,308.00,7361.27,5902
2023-04-10,WALMIR ANTONIO BUENO,888,98.42,690.00,5124
2023-04-17,ACOS ACW LTDA,3281,5440.00,5440.00,5901
2023-04-15,ANDRA SA ELECTRIC SO,28950,357.72,4440.82,5929
2023-04-04,Auto Posto das Olive,30471,936.86,2618.27,5929
2023-04-11,Auto Posto das Olive,30517,217.99,1623.16,5929
2023-04-18,Auto Posto das Olive,30592,1246.51,1719.97,5929
2023-04-03,BORFER FERRAGENS E F,129384,525.00,525.00,5102
2023-04-04,BORFER FERRAGENS E F,129456,1329.00,1404.60,5102
2023-04-04,BORFER FERRAGENS E F,129508,63.60,244.10,5102
2023-04-06,BORFER FERRAGENS E F,129627,2250.00,3750.00,5102
2023-04-10,BORFER FERRAGENS E F,129668,25.25,2193.43,5102
2023-04-10,BORFER FERRAGENS E F,129695,107.60,654.90,5102
2023-04-12,BORFER FERRAGENS E F,129824,500.00,500.00,5102
2023-04-17,BORFER FERRAGENS E F,130055,19.60,75.40,5405
2023-04-11,CAROLPLAS IND E COM ,9670,2050.00,2050.00,5101
2023-03-20,CROMEACAO E POLIM. C,7946,1704.10,3193.06,5124
2023-04-03,CROMEACAO E POLIM. C,8001,4887.50,6630.00,5124
2023-04-03,CROMEACAO E POLIM. C,8002,624.75,6174.33,5124
2023-04-03,CROMEACAO E POLIM. C,8003,97.50,1911.44,5124
2023-04-03,CROMEACAO E POLIM. C,8004,12.00,5183.88,5124
2023-04-03,CROMEACAO E POLIM. C,8005,630.00,3214.93,5124
2023-04-04,CROMEACAO E POLIM. C,8006,375.00,19800.00,5124
2023-04-04,CROMEACAO E POLIM. C,8007,450.00,635.58,5124
2023-04-05,CROMEACAO E POLIM. C,8008,1760.00,3857.59,5124
2023-04-05,CROMEACAO E POLIM. C,8009,22.50,968.36,5124
2023-04-06,CROMEACAO E POLIM. C,8017,6954.00,14309.03,5124
2023-04-10,CROMEACAO E POLIM. C,8022,5580.00,8265.00,5124
2023-04-11,CROMEACAO E POLIM. C,8026,50.00,148.00,5124
2023-04-12,CROMEACAO E POLIM. C,8027,1012.50,1597.50,5124
2023-04-12,CROMEACAO E POLIM. C,8028,204.00,4583.01,5124
2023-04-12,CROMEACAO E POLIM. C,8029,500.00,3479.30,5124
2023-04-12,CROMEACAO E POLIM. C,8030,822.50,3311.74,5124
2023-04-12,CROMEACAO E POLIM. C,8031,17.50,179.40,5124
2023-04-13,CROMEACAO E POLIM. C,8032,6954.00,9851.50,5124
2023-04-13,CROMEACAO E POLIM. C,8033,540.00,1574.54,5124
2023-04-13,CROMEACAO E POLIM. C,8034,128.96,180.05,5124
2023-04-17,CROMEACAO E POLIM. C,8039,64.80,915.14,5124
2023-04-17,CROMEACAO E POLIM. C,8040,104.00,3186.74,5124
2023-04-17,CROMEACAO E POLIM. C,8041,1168.50,1907.90,5124
2023-04-17,CROMEACAO E POLIM. C,8042,360.00,667.94,5124
2023-04-19,CROMEACAO E POLIM. C,8044,630.00,848.68,5124
2023-04-19,CROMEACAO E POLIM. C,8045,80.00,1492.90,5124
2023-04-04,CENTRAL DO ACRILICO ,416542,869.24,953.99,5102
2023-04-17,COMERCIAL COOPER-ROL,2669,6642.00,6642.00,5901
2023-04-03,COSMOFER COMERCIO DE,21413,1326.80,1326.80,5924
2023-04-19,CROMOSPEEDY NIQ. E C,31611,76.16,8513.76,5902
2023-04-19,CROMOSPEEDY NIQ. E C,31610,160.00,10120.00,5124
2023-04-04,DAGAN INDUSTRIA E CO,73372,13745.55,13745.55,5924
2023-03-15,DE FLASH MATERIAIS P,1489,66.90,66.90,1411
2023-04-17,DE FLASH MATERIAIS P,1539,77.00,11728.06,5405
2023-04-04,DE HOTEL COMERCIO E ,1902,1326.78,1326.78,5901
2023-04-18,Delta Cores Industri,8443,2750.00,2839.38,5101
2023-04-17,ELETRIFICAR COM. DE ,8701,60.00,169.80,5405
2023-04-17,ELINOX CENTRAL DE AC,327207,5093.52,5093.52,5924
2023-04-06,ERT DO BRASIL COMERC,1960,1071.92,1071.92,5102
2023-04-04,FAMARA INDUSTRIA E C,4,775.00,775.00,5915
2023-04-05,FAMARA INDUSTRIA E C,5,155.00,155.00,5915
